Board,Qty_per_board,Boards,Total_Qty,Value,MPN,Package,Description,Unit_Price_USD,Line_Total_USD
Main,11,1,11,,L-EUL5650M,L5650M,"INDUCTOR, European symbol",,
Main,1,1,1,,MA10-2,MA10-2,PIN HEADER,,
Main,1,1,1,,PINHD-1X2,1X02,PIN HEADER,,
Main,11,1,11,,PINHD-1X3,1X03,PIN HEADER,,
Main,3,1,3,,PINHD-1X4,1X04,PIN HEADER,,
Main,1,1,1,,PINHD-1X6,1X06,PIN HEADER,,
Main,1,1,1,,PINHD-1X8,1X08,PIN HEADER,,
Main,1,1,1,,PINHD-2X4,2X04,PIN HEADER,,
Main,1,1,1,,PINHD-2X6,2X06,PIN HEADER,,
Main,1,1,1,,PINHD-2X7,2X07,PIN HEADER,,
Main,1,1,1,,SJ2W,SJ_2,SMD solder JUMPER,,
Main,71,1,71,0.1uF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,4,1,4,0.1µF,C-EUC0402,C0402,"CAPACITOR, European symbol",,
Main,6,1,6,0.1µF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,1,1,1,0.2pF,C-EUC0201,C0201,"CAPACITOR, European symbol",,
Main,13,1,13,0.47uF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,1,1,1,0.6pF,C-EUC0201,C0201,"CAPACITOR, European symbol",,
Main,4,1,4,0R,RR0201,R0201,"RESISTOR, European symbol",,
Main,12,1,12,100R,RR0201,R0201,"RESISTOR, European symbol",,
Main,28,1,28,100nF,C-EUC0402,C0402,"CAPACITOR, European symbol",,
Main,24,1,24,100nF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,34,1,34,100pF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,2,1,2,103pF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,1,1,1,106pF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,4,1,4,107.3nH,LL0201,L0201,"INDUCTOR, European symbol",,
Main,9,1,9,10k,RR0201,R0201,"RESISTOR, European symbol",,
Main,16,1,16,10nF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,2,1,2,10uF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,12,1,12,10µF,C-EUC0805,C0805,"CAPACITOR, European symbol",,
Main,1,1,1,115R,R-EU_R0201,R0201,"RESISTOR, European symbol",,
Main,2,1,2,12nH,LL0201,L0201,"INDUCTOR, European symbol",,
Main,2,1,2,12pF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,37,1,37,142-0731-211,142-0731-211,1420731211,"SMA Connector Jack, Female Socket 50 Ohms Through Hole Solder",,
Main,2,1,2,159nH,LL0201,L0201,"INDUCTOR, European symbol",,
Main,2,1,2,18pF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,1,1,1,1k,R-EU_R0402,R0402,"RESISTOR, European symbol",,
Main,49,1,49,1k,RR0201,R0201,"RESISTOR, European symbol",,
Main,1,1,1,1k2_1%,RR0201,R0201,"RESISTOR, European symbol",,
Main,7,1,7,1nF,C-EUC0402,C0402,"CAPACITOR, European symbol",,
Main,51,1,51,1pF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,16,1,16,1uF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,3,1,3,1µF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,1,1,1,2.2k,RR0201,R0201,"RESISTOR, European symbol",,
Main,3,1,3,2.2uF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,16,1,16,2.443k,RR0201,R0201,"RESISTOR, European symbol",,
Main,1,1,1,2.7pF,C-EUC0402,C0402,"CAPACITOR, European symbol",,
Main,2,1,2,2.7pF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,4,1,4,200R,RR0201,R0201,"RESISTOR, European symbol",,
Main,1,1,1,20k,R-EU_R0402,R0402,"RESISTOR, European symbol",,
Main,40,1,40,22-23-2021,22-23-2021,22-23-2021,".100 (2.54mm) Center Header - 2 Pin""",,
Main,16,1,16,22-23-2031,22-23-2031,22-23-2031,".100 (2.54mm) Center Header - 3 Pin""",,
Main,11,1,11,22.1k,RR0201,R0201,"RESISTOR, European symbol",,
Main,13,1,13,22R,RR0201,R0201,"RESISTOR, European symbol",,
Main,2,1,2,22pF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,5,1,5,22µF,C-EUC1206,C1206,"CAPACITOR, European symbol",,
Main,2,1,2,24R,R-EU_R0402,R0402,"RESISTOR, European symbol",,
Main,2,1,2,25R,RR0201,R0201,"RESISTOR, European symbol",,
Main,4,1,4,25pF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,1,1,1,3.3uF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,2,1,2,32.8pF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,1,1,1,3k2,RR0201,R0201,"RESISTOR, European symbol",,
Main,2,1,2,4.3k,R-EU_R0201,R0201,"RESISTOR, European symbol",,
Main,2,1,2,4.3pF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,27,1,27,4.7k,RR0201,R0201,"RESISTOR, European symbol",,
Main,16,1,16,4.7nF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,8,1,8,4.7uF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,2,1,2,4.7uF 35V,4.7UF-POLAR-EIA3528-35V-10%(TANT),EIA3528,,,
Main,1,1,1,47nF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,4,1,4,47uF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,4,1,4,500R,RR0201,R0201,"RESISTOR, European symbol",,
Main,3,1,3,50R,RR0201,R0201,"RESISTOR, European symbol",,
Main,4,1,4,50nH,LL0201,L0201,"INDUCTOR, European symbol",,
Main,1,1,1,56R,R-EU_R0201,R0201,"RESISTOR, European symbol",,
Main,3,1,3,5R,RR0201,R0201,"RESISTOR, European symbol",,
Main,2,1,2,7.8pF,CC0201,C0201,"CAPACITOR, European symbol",,
Main,1,1,1,830R,R-EU_R0402,R0402,"RESISTOR, European symbol",,
Main,4,1,4,840R,RR0201,R0201,"RESISTOR, European symbol",,
Main,2,1,2,AD8352ACPZ-R7,AD8352ACPZ-R7,CP_16_3_ADI,,,
Main,1,1,1,AD9484BCPZ-500,AD9484BCPZ-500,CP_56_5_ADI,,,
Main,1,1,1,AD9708AR,AD9708AR,RW_28_ADI,,,
Main,4,1,4,ADAR1000ACCZN,ADAR1000ACCZN,CC-88-1_ADI,,,
Main,3,1,3,ADS7830IPWR,ADS7830IPWR,PW16,,,
Main,16,1,16,ADTR1107ACCZ,ADTR1107ACCZ,CC-24-8_ADI,,,
Main,1,1,1,AT93C46A-10SQ-2.7,AT93C46A-10SQ-2.7,SOIC8,Three-wire Automotive Temperature Serial EEPROM 1K (64 x 16),,
Main,5,1,5,BLM15HB121SN1,BLM15HB121SN1,0402,EMIFIL (R) Chip Ferrite Bead for GHz Noise,,
Main,2,1,2,BPF2,BPF2,BPF2,,,
